object_type,object_id,st_astext
way,28857547,POINT (31.216338 30.020205)
way,59545677,POINT (31.216985 30.015887)
way,55944591,POINT (31.217007 30.015751)
way,4987245,POINT (31.230435 30.022535)
way,39167830,POINT (31.230432 30.022536)
way,29974240,POINT (31.257078 30.024434)
way,29974240,POINT (31.257104 30.024371)
way,29418862,POINT (31.281145 30.015512)
way,77179904,POINT (31.168618 30.031555)
way,98642761,POINT (31.168642 30.031559)
way,233125835,POINT (31.172271 30.030960)
way,359177548,POINT (31.208356 30.028500)
way,359177548,POINT (31.208399 30.028505)
way,359177548,POINT (31.208503 30.028517)
way,359180190,POINT (31.208401 30.026614)
way,153834054,POINT (31.219951 30.040197)
way,10950988,POINT (31.231560 30.043875)
way,97396421,POINT (31.266016 30.036393)
way,97396411,POINT (31.266083 30.036464)
way,26253804,POINT (31.336434 30.039212)
way,46846377,POINT (31.190854 30.048763)
way,305980141,POINT (31.234367 30.050481)
way,35573440,POINT (31.248979 30.054453)
way,35573380,POINT (31.249614 30.050280)
way,28832221,POINT (31.250934 30.049941)
way,174546462,POINT (31.193334 30.059487)
way,271088236,POINT (31.195591 30.058205)
way,24987164,POINT (31.224562 30.058566)
way,33804311,POINT (31.224802 30.058811)
way,10945548,POINT (31.228620 30.057233)
way,52042432,POINT (31.228487 30.057266)
way,256051728,POINT (31.231216 30.056547)
way,28851134,POINT (31.240790 30.058112)
way,28851338,POINT (31.240787 30.058115)
way,305992341,POINT (31.242684 30.058674)
way,305992341,POINT (31.242716 30.058364)
way,26096047,POINT (31.244061 30.060013)
way,26096047,POINT (31.244238 30.059872)
way,29181336,POINT (31.245502 30.061259)
way,306010027,POINT (31.246250 30.061629)
way,224955063,POINT (31.279465 30.055401)
way,191577701,POINT (31.279491 30.055837)
way,191577701,POINT (31.279494 30.055437)
way,191577701,POINT (31.279460 30.055296)
way,25026293,POINT (31.279663 30.055952)
way,33791388,POINT (31.279918 30.055966)
way,28720102,POINT (31.281286 30.063528)
way,26206307,POINT (31.330323 30.059241)
way,28826000,POINT (31.334668 30.057993)
way,26206262,POINT (31.332873 30.061501)
way,182371956,POINT (31.331459 30.064211)
way,26729412,POINT (31.334357 30.064535)
way,25584525,POINT (31.339053 30.057402)
way,292852084,POINT (31.016171 30.068628)
way,31543851,POINT (31.016366 30.068014)
way,305775074,POINT (31.227653 30.074314)
way,52042430,POINT (31.227758 30.074268)
way,199151238,POINT (31.251873 30.066852)
way,199151238,POINT (31.251817 30.066802)
way,199151250,POINT (31.251767 30.066912)
way,199151250,POINT (31.251718 30.066860)
way,29181899,POINT (31.266529 30.068810)
way,59546779,POINT (31.291675 30.069112)
way,40395893,POINT (31.482852 30.065083)
way,29423160,POINT (31.223283 30.076026)
way,24869131,POINT (31.223367 30.075995)
way,305739337,POINT (31.236022 30.084154)
way,48210154,POINT (31.214480 30.092345)
way,48210154,POINT (31.214264 30.091649)
