way_id,geom
276233394,"MULTIPOINT ((-7.605326 33.586433), (-7.606135 33.585374))"
276233393,"POINT (-7.605363 33.586451)"
276233393,"MULTIPOINT ((-7.603768 33.591165), (-7.603673 33.593526), (-7.603681 33.593432))"
36853383,"MULTIPOINT ((-7.603746 33.592275), (-7.603680 33.592275))"
276233394,"MULTIPOINT ((-7.603719 33.591164), (-7.603604 33.593526), (-7.603609 33.593430))"
36853667,"MULTIPOINT ((-7.603573 33.594673), (-7.603519 33.594679))"
208638558,"POINT (-6.873197 33.987557)"
160202734,"POINT (-6.843002 34.020625)"
220524730,"POINT (-2.943656 35.276390)"
220524733,"POINT (-2.941636 35.276423)"
302470690,"POINT (-2.955010 35.291933)"
94069577,"POINT (-5.362340 35.568286)"
94069619,"POINT (-5.362352 35.568351)"
306855010,"POINT (-5.807942 35.780967)"
103433716,"POINT (10.588489 35.897055)"
166821301,"POINT (-5.456158 36.112619)"
166821299,"POINT (-5.456201 36.112660)"
166821302,"POINT (-5.455849 36.113270)"
166821287,"POINT (-5.455757 36.113319)"
236381808,"POINT (-5.456194 36.121246)"
22680393,"POINT (-5.447710 36.122995)"
122238130,"POINT (-5.348107 36.154888)"
372403748,"POINT (-5.348910 36.156029)"
286489546,"MULTIPOINT ((-5.338114 36.174951), (-5.337811 36.174868))"
311562415,"MULTIPOINT ((-5.436550 36.177134), (-5.436623 36.177332))"
293082509,"POINT (-5.437452 36.179587)"
361051289,"POINT (-5.437473 36.179645)"
205206600,"POINT (-5.918664 36.191484)"
335734467,"POINT (-5.917054 36.193456)"
152978422,"POINT (-5.403387 36.185433)"
288575754,"POINT (-5.967181 36.247114)"
240896897,"POINT (-6.151522 36.316955)"
109741110,"POINT (10.537542 36.378012)"
109741126,"POINT (10.537803 36.378395)"
144731509,"POINT (-6.148706 36.424954)"
54069713,"POINT (-6.130358 36.415502)"
96955530,"POINT (-5.124542 36.433248)"
31062875,"POINT (-5.124447 36.433417)"
31061890,"POINT (-5.135272 36.436556)"
322583609,"POINT (-4.995457 36.481295)"
322583610,"POINT (-4.995498 36.481471)"
139240508,"POINT (-4.993939 36.485255)"
217900386,"POINT (-4.988416 36.490359)"
97674792,"POINT (-4.963975 36.487619)"
214644522,"POINT (-4.964021 36.487715)"
140906471,"POINT (-4.773457 36.492748)"
240829355,"POINT (-4.711012 36.491124)"
26952869,"POINT (-4.770908 36.510795)"
172443776,"POINT (-4.770833 36.510962)"
255187312,"POINT (-6.226344 36.520558)"
255098652,"POINT (-6.226178 36.520771)"
41174358,"POINT (-6.231513 36.523523)"
270244303,"POINT (-6.283285 36.530846)"
74440578,"POINT (-4.637438 36.539498)"
74442768,"MULTIPOINT ((-4.635118 36.540901), (-4.635010 36.540900))"
338776194,"MULTIPOINT ((-4.633876 36.544573), (-4.633766 36.544534))"
45249078,"POINT (-6.110929 36.557063)"
23387733,"POINT (-4.602355 36.584847)"
301872953,"POINT (-6.231197 36.585306)"
301872971,"POINT (-6.225947 36.589994)"
301876257,"POINT (-6.225174 36.591070)"
301872948,"MULTIPOINT ((-6.225201 36.591032), (-6.223587 36.593259))"
